sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO75174,BK-R50B-62,28852,20140222,20140227,20140304,66,3,22
SO75175,HL-U509,20374,20140323,20140329,20140403,699,1,699
SO75176,BK-R93R-48,24527,20140330,20140405,20140410,110,5,22
SO75177,HL-U509,15682,20140309,20140315,20140320,6800,2,3400
SO75178,HL-U509,16960,20140224,20140305,20140310,6750,2,3375
SO75179,FE-6654,26238,20140205,20140214,20140219,6800,2,3400
SO75180,BK-M82S-44,25939,20140303,20140310,20140315,88,4,22
SO75181,HL-U509,25376,20140315,20140325,20140330,159,1,159
SO75182,BK-R50B-62,13748,20140207,20140214,20140219,17890,5,3578
SO75183,BK-M82B-48,14618,20140314,20140320,20140325,9,1,9
SO75184,BK-R93R-48,15769,20140210,20140215,20140220,110,5,22
SO75185,BK-R50B-62,18565,20140207,20140212,20140217,13500,4,3375
SO75186,HL-U509,19299,20140301,20140310,20140315,2796,4,699
SO75187,BK-R93R-48,26040,20140222,20140227,20140304,13600,4,3400
SO75188,BK-M82B-48,15503,20140318,20140327,20140401,2796,4,699
SO75189,LJ-0192-S,13895,20140325,20140331,20140405,1376,4,344
SO75190,BK-R93R-48,26901,20140217,20140226,20140303,795,5,159
SO75191,BK-R93R-48,24710,20140304,20140311,20140316,66,3,22
SO75192,BK-R93R-62,25508,20140204,20140213,20140218,36,4,9
SO75193,CA-1098,18906,20140212,20140218,20140223,795,5,159
SO75194,BK-R93R-62,13332,20140204,20140209,20140214,636,4,159
SO75195,SO-B909-M,11740,20140301,20140311,20140316,688,2,344
SO75196,BK-R50B-62,19876,20140208,20140213,20140218,699,1,699
SO75197,HL-U509,13499,20140302,20140311,20140316,9,1,9
SO75198,BK-R50B-62,14812,20140221,20140228,20140305,36,4,9
SO75199,LJ-0192-S,25544,20140201,20140206,20140211,10125,3,3375
SO75200,ST-1401,22662,20140302,20140309,20140314,3578,1,3578
SO75201,BK-M82B-48,26261,20140129,20140203,20140208,7156,2,3578
SO75202,HL-U509,29311,20140225,20140307,20140312,10125,3,3375
SO75203,BK-M82S-44,27488,20140302,20140310,20140315,318,2,159
SO75204,CA-1098,12176,20140315,20140324,20140329,636,4,159
SO75205,BK-R93R-62,16123,20140217,20140226,20140303,636,4,159
SO75206,SO-B909-M,20953,20140129,20140207,20140212,1032,3,344
SO75207,BK-M82S-44,25844,20140302,20140309,20140314,2796,4,699
SO75208,BK-R93R-62,11022,20140208,20140214,20140219,3495,5,699
SO75209,FE-6654,11024,20140330,20140408,20140413,688,2,344
SO75210,BK-R50B-62,24091,20140311,20140321,20140326,16875,5,3375
SO75211,ST-1401,14769,20140310,20140316,20140321,636,4,159
SO75212,BK-R50B-62,25759,20140308,20140315,20140320,688,2,344
SO75213,LJ-0192-S,11130,20140321,20140327,20140401,344,1,344
SO75214,BK-R93R-48,16733,20140314,20140321,20140326,10125,3,3375
SO75215,BK-R50B-62,26287,20140306,20140312,20140317,36,4,9
SO75216,LJ-0192-S,22640,20140208,20140217,20140222,18,2,9
SO75217,BK-R93R-62,19360,20140329,20140403,20140408,7156,2,3578
SO75218,FE-6654,24163,20140313,20140321,20140326,10200,3,3400
SO75219,BK-M82B-48,25848,20140309,20140319,20140324,1376,4,344
SO75220,LJ-0192-S,17163,20140204,20140209,20140214,688,2,344
SO75221,BK-R93R-48,25384,20140219,20140228,20140305,14312,4,3578
SO75222,FE-6654,11458,20140308,20140314,20140319,36,4,9
SO75223,FE-6654,14905,20140328,20140404,20140409,3495,5,699
SO75224,BK-R93R-62,24026,20140324,20140330,20140404,1720,5,344
SO75225,HL-U509,25028,20140207,20140216,20140221,17890,5,3578
SO75226,BK-R93R-48,13428,20140203,20140210,20140215,16875,5,3375
SO75227,BK-R93R-62,14583,20140304,20140314,20140319,14312,4,3578
SO75228,CA-1098,24266,20140208,20140216,20140221,6800,2,3400
SO75229,HL-U509,23240,20140221,20140301,20140306,9,1,9
SO75230,BK-M82B-48,22795,20140307,20140312,20140317,688,2,344
SO75231,HL-U509,26088,20140202,20140210,20140215,318,2,159
SO75232,FE-6654,22039,20140320,20140328,20140402,1398,2,699
SO75233,BK-R50B-62,18427,20140205,20140212,20140217,3400,1,3400
SO75234,FE-6654,19088,20140308,20140315,20140320,110,5,22
SO75235,LJ-0192-S,23044,20140224,20140305,20140310,1398,2,699
SO75236,CA-1098,19531,20140329,20140408,20140413,699,1,699
SO75237,CA-1098,17221,20140304,20140314,20140319,13500,4,3375
SO75238,BK-R93R-48,29055,20140227,20140307,20140312,2796,4,699
SO75239,BK-M82S-44,18482,20140312,20140317,20140322,3375,1,3375
SO75240,BK-R93R-48,12823,20140304,20140309,20140314,17000,5,3400
SO75241,BK-R50B-62,16682,20140305,20140315,20140320,16875,5,3375
SO75242,CA-1098,26266,20140311,20140318,20140323,6800,2,3400
SO75243,FE-6654,28086,20140318,20140327,20140401,1720,5,344
SO75244,SO-B909-M,20092,20140210,20140217,20140222,13500,4,3375
SO75245,SO-B909-M,28843,20140210,20140216,20140221,6800,2,3400
SO75246,BK-M82S-44,21293,20140307,20140315,20140320,45,5,9
SO75247,BK-M82S-44,11615,20140327,20140404,20140409,3578,1,3578
SO75248,BK-M82B-48,26591,20140208,20140215,20140220,2097,3,699
SO75249,BK-M82S-44,22488,20140217,20140224,20140301,10734,3,3578
SO75250,BK-R93R-48,25975,20140214,20140221,20140226,6750,2,3375
SO75251,BK-R50B-62,14166,20140220,20140302,20140307,795,5,159
SO75252,HL-U509,28250,20140212,20140222,20140227,22,1,22
SO75253,CA-1098,17252,20140220,20140302,20140307,44,2,22
SO75254,FE-6654,23637,20140323,20140330,20140404,13600,4,3400
SO75255,ST-1401,15891,20140226,20140305,20140310,88,4,22
SO75256,BK-R93R-48,27951,20140302,20140311,20140316,9,1,9
SO75257,FE-6654,14575,20140129,20140205,20140210,88,4,22
SO75258,HL-U509,26120,20140223,20140301,20140306,10200,3,3400
SO75259,SO-B909-M,13311,20140301,20140308,20140313,66,3,22
SO75260,BK-M82B-48,11786,20140203,20140211,20140216,688,2,344
SO75261,HL-U509,19133,20140210,20140218,20140223,3495,5,699
SO75262,CA-1098,17256,20140305,20140310,20140315,636,4,159
SO75263,BK-R50B-62,25720,20140220,20140226,20140303,14312,4,3578
SO75264,BK-R93R-62,25272,20140220,20140227,20140304,477,3,159
SO75265,BK-R50B-62,20129,20140211,20140218,20140223,14312,4,3578
SO75266,SO-B909-M,11789,20140303,20140308,20140313,13500,4,3375
SO75267,LJ-0192-S,23968,20140131,20140208,20140213,699,1,699
SO75268,CA-1098,16004,20140220,20140228,20140305,17890,5,3578
SO75269,FE-6654,25274,20140220,20140227,20140304,10734,3,3578
SO75270,FE-6654,17451,20140201,20140210,20140215,10734,3,3578
SO75271,HL-U509,16934,20140221,20140228,20140305,6800,2,3400
SO75272,SO-B909-M,13644,20140310,20140317,20140322,3400,1,3400
SO75273,LJ-0192-S,27848,20140225,20140307,20140312,44,2,22
SO75274,BK-R93R-48,21677,20140320,20140330,20140404,318,2,159
SO75275,BK-M82S-44,24133,20140214,20140220,20140225,10734,3,3578
SO75276,SO-B909-M,23802,20140324,20140329,20140403,477,3,159
SO75277,BK-M82B-48,24144,20140319,20140325,20140330,636,4,159
SO75278,HL-U509,18601,20140227,20140306,20140311,6750,2,3375
SO75279,BK-R50B-62,25587,20140222,20140227,20140304,7156,2,3578
SO75280,LJ-0192-S,21519,20140217,20140222,20140227,699,1,699
SO75281,HL-U509,21150,20140308,20140313,20140318,45,5,9
SO75282,BK-M82S-44,13336,20140327,20140406,20140411,2796,4,699
SO75283,HL-U509,15411,20140321,20140331,20140405,10734,3,3578
SO75284,BK-R93R-62,28269,20140212,20140221,20140226,18,2,9
SO75285,BK-R93R-48,15800,20140302,20140309,20140314,13500,4,3375
SO75286,LJ-0192-S,16512,20140129,20140206,20140211,1398,2,699
SO75287,BK-M82S-44,28821,20140303,20140313,20140318,17890,5,3578
SO75288,LJ-0192-S,18550,20140310,20140316,20140321,1376,4,344
SO75289,BK-M82B-48,15203,20140212,20140219,20140224,1376,4,344
SO75290,HL-U509,14784,20140301,20140306,20140311,6750,2,3375
SO75291,LJ-0192-S,26440,20140223,20140304,20140309,110,5,22
SO75292,BK-R50B-62,20008,20140324,20140330,20140404,27,3,9
SO75293,BK-M82B-48,24861,20140220,20140226,20140303,699,1,699
SO75294,HL-U509,16528,20140302,20140312,20140317,1720,5,344
SO75295,FE-6654,20571,20140322,20140330,20140404,2097,3,699
SO75296,CA-1098,18107,20140207,20140215,20140220,6800,2,3400
SO75297,BK-R93R-48,13907,20140329,20140403,20140408,10125,3,3375
SO75298,SO-B909-M,25795,20140218,20140224,20140301,636,4,159
SO75299,HL-U509,16585,20140208,20140218,20140223,2796,4,699
SO75300,CA-1098,22309,20140202,20140211,20140216,13600,4,3400
SO75301,BK-R93R-48,22032,20140223,20140301,20140306,1720,5,344
SO75302,HL-U509,22955,20140227,20140309,20140314,66,3,22
SO75303,CA-1098,11771,20140201,20140210,20140215,1032,3,344
SO75304,ST-1401,21646,20140322,20140401,20140406,13600,4,3400
SO75305,CA-1098,21330,20140325,20140331,20140405,699,1,699
SO75306,ST-1401,28741,20140317,20140324,20140329,2796,4,699
SO75307,SO-B909-M,27882,20140207,20140213,20140218,6750,2,3375
SO75308,BK-M82B-48,14961,20140206,20140216,20140221,688,2,344
SO75309,BK-M82S-44,24322,20140203,20140212,20140217,3578,1,3578
SO75310,BK-M82S-44,24231,20140327,20140406,20140411,66,3,22
SO75311,CA-1098,29218,20140305,20140312,20140317,110,5,22
SO75312,LJ-0192-S,21912,20140315,20140321,20140326,477,3,159
SO75313,HL-U509,28460,20140228,20140306,20140311,3375,1,3375
SO75314,BK-R93R-62,24995,20140129,20140207,20140212,318,2,159
SO75315,BK-R93R-48,16838,20140303,20140309,20140314,3578,1,3578
SO75316,SO-B909-M,15972,20140323,20140329,20140403,1720,5,344
SO75317,HL-U509,27440,20140204,20140209,20140214,159,1,159
SO75318,BK-R93R-62,19834,20140216,20140225,20140302,18,2,9
SO75319,ST-1401,13641,20140322,20140330,20140404,45,5,9
SO75320,SO-B909-M,15629,20140220,20140301,20140306,88,4,22
SO75321,BK-R93R-62,14664,20140314,20140323,20140328,36,4,9
SO75322,BK-M82S-44,17581,20140323,20140328,20140402,36,4,9
SO75323,FE-6654,13092,20140211,20140221,20140226,3375,1,3375
SO75324,BK-R50B-62,11924,20140224,20140301,20140306,44,2,22
SO75325,ST-1401,12081,20140215,20140221,20140226,688,2,344
SO75326,BK-R93R-48,25004,20140203,20140210,20140215,45,5,9
SO75327,ST-1401,24835,20140312,20140319,20140324,688,2,344
SO75328,BK-R93R-62,12456,20140309,20140315,20140320,3495,5,699
SO75329,ST-1401,23503,20140312,20140319,20140324,18,2,9
SO75330,LJ-0192-S,28540,20140221,20140301,20140306,36,4,9
SO75331,CA-1098,28206,20140329,20140406,20140411,3375,1,3375
SO75332,BK-M82S-44,17590,20140317,20140323,20140328,27,3,9
SO75333,BK-M82B-48,22319,20140323,20140331,20140405,1720,5,344
SO75334,LJ-0192-S,27164,20140213,20140223,20140228,22,1,22
SO75335,ST-1401,13577,20140205,20140212,20140217,10734,3,3578
SO75336,BK-M82B-48,19255,20140130,20140208,20140213,3495,5,699
SO75337,BK-M82B-48,14192,20140301,20140309,20140314,1398,2,699
SO75338,SO-B909-M,23805,20140129,20140205,20140210,66,3,22
SO75339,BK-R50B-62,17647,20140323,20140328,20140402,344,1,344
SO75340,HL-U509,21407,20140318,20140327,20140401,9,1,9
SO75341,ST-1401,24430,20140203,20140212,20140217,14312,4,3578
SO75342,BK-M82S-44,11533,20140226,20140304,20140309,44,2,22
SO75343,CA-1098,20215,20140322,20140331,20140405,636,4,159
SO75344,BK-M82B-48,24025,20140215,20140221,20140226,9,1,9
SO75345,BK-R93R-48,23862,20140212,20140221,20140226,22,1,22
SO75346,SO-B909-M,19267,20140313,20140318,20140323,9,1,9
SO75347,BK-R93R-62,14971,20140221,20140302,20140307,27,3,9
SO75348,BK-R93R-62,28609,20140312,20140317,20140322,18,2,9
SO75349,ST-1401,12987,20140222,20140301,20140306,10125,3,3375
SO75350,BK-M82B-48,13853,20140310,20140320,20140325,88,4,22
SO75351,ST-1401,21709,20140228,20140305,20140310,13500,4,3375
SO75352,HL-U509,12881,20140211,20140220,20140225,18,2,9
SO75353,ST-1401,22528,20140322,20140329,20140403,88,4,22
SO75354,ST-1401,12046,20140207,20140213,20140218,13500,4,3375
SO75355,BK-R93R-48,14120,20140129,20140208,20140213,9,1,9
SO75356,ST-1401,25405,20140207,20140214,20140219,159,1,159
SO75357,SO-B909-M,11775,20140315,20140324,20140329,27,3,9
SO75358,CA-1098,25111,20140208,20140213,20140218,2097,3,699
SO75359,BK-M82B-48,14373,20140214,20140221,20140226,45,5,9
SO75360,FE-6654,26065,20140313,20140318,20140323,66,3,22
SO75361,ST-1401,24244,20140206,20140214,20140219,7156,2,3578
SO75362,BK-R93R-62,26831,20140206,20140211,20140216,636,4,159
SO75363,SO-B909-M,21099,20140214,20140222,20140227,27,3,9
SO75364,LJ-0192-S,15300,20140328,20140404,20140409,6750,2,3375
SO75365,ST-1401,26115,20140305,20140311,20140316,1720,5,344
SO75366,BK-M82B-48,14188,20140304,20140313,20140318,22,1,22
SO75367,LJ-0192-S,12801,20140219,20140226,20140303,66,3,22
SO75368,CA-1098,11857,20140303,20140309,20140314,36,4,9
SO75369,SO-B909-M,19729,20140321,20140330,20140404,45,5,9
SO75370,BK-M82B-48,25691,20140305,20140310,20140315,66,3,22
SO75371,BK-R93R-62,11654,20140202,20140208,20140213,3495,5,699
SO75372,LJ-0192-S,13494,20140324,20140401,20140406,14312,4,3578
SO75373,BK-R50B-62,27735,20140224,20140306,20140311,66,3,22
SO75374,CA-1098,26184,20140214,20140224,20140301,10734,3,3578
SO75375,BK-M82S-44,22779,20140206,20140213,20140218,17890,5,3578
SO75376,BK-M82S-44,23522,20140216,20140225,20140302,66,3,22
SO75377,ST-1401,23541,20140327,20140404,20140409,16875,5,3375
SO75378,BK-R50B-62,16205,20140202,20140212,20140217,2097,3,699
SO75379,LJ-0192-S,24815,20140218,20140226,20140303,688,2,344
SO75380,FE-6654,15305,20140206,20140213,20140218,13600,4,3400
SO75381,ST-1401,26674,20140228,20140308,20140313,3375,1,3375
SO75382,BK-M82B-48,28919,20140216,20140222,20140227,688,2,344
SO75383,LJ-0192-S,21116,20140321,20140328,20140402,318,2,159
SO75384,ST-1401,20408,20140211,20140217,20140222,699,1,699
SO75385,BK-M82S-44,26793,20140218,20140228,20140305,6750,2,3375
SO75386,BK-R93R-48,28598,20140207,20140215,20140220,7156,2,3578
SO75387,BK-M82B-48,25114,20140217,20140223,20140228,3578,1,3578
SO75388,BK-R93R-62,26912,20140326,20140401,20140406,110,5,22
SO75389,BK-R50B-62,14879,20140304,20140310,20140315,1398,2,699
SO75390,BK-R93R-62,13407,20140224,20140305,20140310,1720,5,344
SO75391,BK-R50B-62,13802,20140210,20140216,20140221,7156,2,3578
SO75392,FE-6654,20721,20140320,20140330,20140404,3578,1,3578
SO75393,FE-6654,22200,20140220,20140225,20140302,10734,3,3578
SO75394,SO-B909-M,19696,20140203,20140213,20140218,2097,3,699
SO75395,ST-1401,16864,20140221,20140301,20140306,27,3,9
SO75396,BK-M82S-44,21081,20140214,20140221,20140226,10734,3,3578
SO75397,ST-1401,15497,20140204,20140213,20140218,17890,5,3578
SO75398,BK-R50B-62,13043,20140131,20140209,20140214,6750,2,3375
SO75399,BK-M82S-44,25457,20140215,20140222,20140227,13500,4,3375
SO75400,SO-B909-M,26284,20140318,20140324,20140329,10125,3,3375
SO75401,BK-M82S-44,18013,20140307,20140317,20140322,688,2,344
SO75402,BK-M82B-48,12508,20140320,20140326,20140331,10734,3,3578
SO75403,LJ-0192-S,25739,20140216,20140225,20140302,1398,2,699
SO75404,BK-R93R-48,19274,20140201,20140207,20140212,1032,3,344
SO75405,BK-M82B-48,13284,20140223,20140228,20140305,688,2,344
SO75406,SO-B909-M,11262,20140223,20140303,20140308,18,2,9
SO75407,BK-M82B-48,23984,20140220,20140226,20140303,3578,1,3578
SO75408,SO-B909-M,19334,20140218,20140223,20140228,2796,4,699
SO75409,HL-U509,11343,20140202,20140208,20140213,10200,3,3400
SO75410,BK-M82S-44,24231,20140226,20140304,20140309,45,5,9
SO75411,CA-1098,27610,20140220,20140301,20140306,7156,2,3578
SO75412,BK-R93R-48,11664,20140202,20140210,20140215,3400,1,3400
SO75413,SO-B909-M,16698,20140211,20140221,20140226,17890,5,3578
SO75414,BK-R93R-62,27377,20140207,20140212,20140217,17890,5,3578
SO75415,FE-6654,18730,20140220,20140228,20140305,14312,4,3578
SO75416,BK-M82B-48,13603,20140210,20140218,20140223,477,3,159
SO75417,BK-M82S-44,17218,20140308,20140314,20140319,44,2,22
SO75418,BK-M82B-48,11826,20140320,20140329,20140403,9,1,9
SO75419,FE-6654,18563,20140224,20140304,20140309,3400,1,3400
SO75420,SO-B909-M,11631,20140129,20140208,20140213,66,3,22
SO75421,BK-M82S-44,20650,20140212,20140221,20140226,88,4,22
SO75422,ST-1401,13936,20140204,20140209,20140214,10200,3,3400
SO75423,BK-R93R-48,19503,20140312,20140321,20140326,27,3,9
SO75424,BK-M82S-44,25952,20140321,20140329,20140403,18,2,9
SO75425,BK-M82S-44,25463,20140325,20140402,20140407,14312,4,3578
SO75426,LJ-0192-S,27738,20140330,20140408,20140413,88,4,22
SO75427,LJ-0192-S,11973,20140219,20140227,20140304,1720,5,344
SO75428,LJ-0192-S,25905,20140212,20140218,20140223,10125,3,3375
SO75429,SO-B909-M,23048,20140311,20140319,20140324,688,2,344
SO75430,ST-1401,14497,20140215,20140224,20140301,17000,5,3400
SO75431,BK-M82S-44,17624,20140309,20140318,20140323,318,2,159
SO75432,ST-1401,27984,20140318,20140327,20140401,1398,2,699
SO75433,BK-R50B-62,23559,20140203,20140212,20140217,13600,4,3400
SO75434,LJ-0192-S,13825,20140228,20140308,20140313,22,1,22
SO75435,BK-R93R-48,25574,20140316,20140322,20140327,6750,2,3375
SO75436,HL-U509,28578,20140321,20140328,20140402,1720,5,344
SO75437,FE-6654,17603,20140225,20140304,20140309,159,1,159
SO75438,BK-R50B-62,26598,20140303,20140312,20140317,2796,4,699
SO75439,SO-B909-M,11712,20140201,20140207,20140212,22,1,22
SO75440,LJ-0192-S,15835,20140223,20140301,20140306,44,2,22
SO75441,HL-U509,12743,20140315,20140320,20140325,13500,4,3375
SO75442,BK-R50B-62,15629,20140204,20140213,20140218,6800,2,3400
SO75443,BK-R50B-62,17948,20140214,20140220,20140225,27,3,9
SO75444,HL-U509,23960,20140228,20140307,20140312,1376,4,344
SO75445,BK-M82S-44,29172,20140222,20140304,20140309,13600,4,3400
SO75446,HL-U509,15526,20140224,20140305,20140310,3400,1,3400
SO75447,BK-R93R-48,23122,20140215,20140224,20140301,344,1,344
SO75448,BK-M82S-44,17685,20140215,20140220,20140225,3578,1,3578
SO75449,BK-M82B-48,12318,20140305,20140313,20140318,17890,5,3578
SO75450,BK-R93R-62,15305,20140208,20140217,20140222,16875,5,3375
SO75451,BK-M82B-48,13924,20140328,20140404,20140409,14312,4,3578
SO75452,SO-B909-M,12496,20140131,20140207,20140212,16875,5,3375
SO75453,BK-M82B-48,13346,20140215,20140223,20140228,17000,5,3400
SO75454,FE-6654,18655,20140321,20140329,20140403,22,1,22
SO75455,SO-B909-M,13354,20140228,20140307,20140312,318,2,159
SO75456,BK-R93R-48,18134,20140131,20140206,20140211,22,1,22
SO75457,LJ-0192-S,18937,20140323,20140329,20140403,10125,3,3375
SO75458,SO-B909-M,27527,20140329,20140406,20140411,36,4,9
SO75459,LJ-0192-S,14336,20140321,20140330,20140404,7156,2,3578
SO75460,BK-R93R-48,25348,20140221,20140226,20140303,688,2,344
SO75461,LJ-0192-S,11211,20140326,20140405,20140410,17000,5,3400
SO75462,LJ-0192-S,23630,20140314,20140322,20140327,3578,1,3578
SO75463,BK-R93R-62,24505,20140319,20140328,20140402,3375,1,3375
SO75464,LJ-0192-S,16276,20140312,20140319,20140324,344,1,344
SO75465,SO-B909-M,19208,20140219,20140228,20140305,44,2,22
SO75466,LJ-0192-S,21494,20140330,20140407,20140412,636,4,159
SO75467,LJ-0192-S,23764,20140301,20140309,20140314,6750,2,3375
SO75468,FE-6654,27607,20140202,20140208,20140213,45,5,9
SO75469,BK-R50B-62,24876,20140314,20140319,20140324,688,2,344
SO75470,BK-R50B-62,29446,20140228,20140308,20140313,10734,3,3578
SO75471,BK-M82B-48,24973,20140207,20140214,20140219,344,1,344
SO75472,BK-R93R-62,26384,20140325,20140403,20140408,1398,2,699
SO75473,BK-R93R-62,19137,20140323,20140402,20140407,10734,3,3578
SO75474,FE-6654,15862,20140225,20140303,20140308,1032,3,344
SO75475,ST-1401,28227,20140209,20140218,20140223,17000,5,3400
SO75476,LJ-0192-S,29141,20140302,20140308,20140313,3578,1,3578
SO75477,BK-R93R-48,23421,20140207,20140212,20140217,636,4,159
SO75478,BK-R93R-62,11895,20140320,20140330,20140404,17890,5,3578
SO75479,BK-R93R-62,18668,20140309,20140318,20140323,27,3,9
SO75480,BK-R93R-48,25939,20140130,20140206,20140211,66,3,22
SO75481,BK-R93R-62,12599,20140218,20140224,20140301,1720,5,344
SO75482,LJ-0192-S,19456,20140131,20140207,20140212,3375,1,3375
SO75483,BK-R93R-48,23257,20140302,20140307,20140312,16875,5,3375
SO75484,FE-6654,15845,20140328,20140407,20140412,36,4,9
SO75485,SO-B909-M,16859,20140302,20140307,20140312,88,4,22
SO75486,BK-R93R-62,11648,20140307,20140312,20140317,6750,2,3375
SO75487,ST-1401,23965,20140302,20140311,20140316,66,3,22
SO75488,CA-1098,20700,20140228,20140307,20140312,6750,2,3375
SO75489,BK-R93R-62,22678,20140214,20140224,20140301,344,1,344
SO75490,BK-M82S-44,29350,20140204,20140213,20140218,3578,1,3578
SO75491,ST-1401,24382,20140319,20140328,20140402,45,5,9
SO75492,CA-1098,24731,20140223,20140302,20140307,17000,5,3400
SO75493,BK-M82B-48,21005,20140225,20140305,20140310,477,3,159
SO75494,LJ-0192-S,21196,20140225,20140302,20140307,9,1,9
SO75495,BK-M82B-48,19815,20140328,20140404,20140409,3375,1,3375
SO75496,BK-R50B-62,28021,20140325,20140404,20140409,699,1,699
SO75497,ST-1401,14913,20140318,20140328,20140402,1720,5,344
SO75498,ST-1401,28672,20140324,20140330,20140404,10200,3,3400
SO75499,LJ-0192-S,28691,20140307,20140312,20140317,27,3,9
SO75500,CA-1098,15083,20140218,20140224,20140301,14312,4,3578
SO75501,CA-1098,23280,20140203,20140208,20140213,344,1,344
SO75502,BK-R93R-48,16806,20140223,20140301,20140306,22,1,22
SO75503,BK-M82B-48,28692,20140304,20140314,20140319,688,2,344
SO75504,LJ-0192-S,17481,20140207,20140212,20140217,699,1,699
SO75505,FE-6654,27360,20140201,20140209,20140214,344,1,344
SO75506,BK-M82S-44,20704,20140325,20140330,20140404,795,5,159
SO75507,SO-B909-M,21965,20140302,20140308,20140313,344,1,344
SO75508,CA-1098,22324,20140223,20140304,20140309,3400,1,3400
SO75509,LJ-0192-S,13627,20140324,20140403,20140408,110,5,22
SO75510,BK-M82B-48,11765,20140205,20140212,20140217,477,3,159
SO75511,BK-M82B-48,24306,20140221,20140302,20140307,7156,2,3578
SO75512,FE-6654,20812,20140308,20140313,20140318,688,2,344
SO75513,CA-1098,12623,20140129,20140203,20140208,13600,4,3400
SO75514,BK-R50B-62,27636,20140311,20140319,20140324,1720,5,344
SO75515,BK-R93R-62,28555,20140314,20140322,20140327,66,3,22
SO75516,BK-R93R-62,24122,20140129,20140206,20140211,27,3,9
SO75517,CA-1098,18376,20140213,20140223,20140228,6800,2,3400
SO75518,BK-M82B-48,12830,20140302,20140309,20140314,110,5,22
SO75519,CA-1098,18771,20140202,20140212,20140217,13500,4,3375
SO75520,BK-R93R-62,19602,20140329,20140406,20140411,6800,2,3400
SO75521,BK-R50B-62,16293,20140314,20140323,20140328,1720,5,344
