CID,CNTRY
AW-00029971,Netherlands
AW-00029972,Norway
AW-00029973,United Kingdom
AW-00029974,Spain
AW-00029975,Sweden
AW-00029976,Belgium
AW-00029977,Denmark
AW-00029978,France
AW-00029979,Norway
AW-00029980,Italy
AW-00029981,Denmark
AW-00029982,Japan
AW-00029983,Spain
AW-00029984,Belgium
AW-00029985,United Kingdom
AW-00029986,United Kingdom
AW-00029987,Japan
AW-00029988,United Kingdom
AW-00029989,Canada
AW-00029990,Denmark
AW-00029991,United Kingdom
AW-00029992,US
AW-00029993,Norway
AW-00029994,Australia
AW-00029995,Canada
AW-00029996,US
AW-00029997,Canada
AW-00029998,Norway
AW-00029999,Canada
AW-00030000,Belgium
AW-00030001,Italy
AW-00030002,Norway
AW-00030003,Australia
AW-00030004,Netherlands
AW-00030005,Japan
AW-00030006,France
AW-00030007,Denmark
AW-00030008,France
AW-00030009,Germany
AW-00030010,United Kingdom
AW-00030011,Canada
AW-00030012,Germany
AW-00030013,United Kingdom
AW-00030014,Sweden
AW-00030015,Sweden
AW-00030016,United Kingdom
AW-00030017,US
AW-00030018,Germany
AW-00030019,France
AW-00030020,Italy
AW-00030021,United Kingdom
AW-00030022,Sweden
AW-00030023,Sweden
AW-00030024,Netherlands
AW-00030025,Canada
AW-00030026,Australia
AW-00030027,Japan
AW-00030028,Norway
AW-00030029,United Kingdom
AW-00030030,Italy
AW-00030031,Japan
AW-00030032,Canada
AW-00030033,Norway
AW-00030034,Belgium
AW-00030035,France
AW-00030036,Italy
AW-00030037,Australia
AW-00030038,France
AW-00030039,United Kingdom
AW-00030040,Sweden
AW-00030041,Spain
AW-00030042,Japan
AW-00030043,Netherlands
AW-00030044,Italy
AW-00030045,United Kingdom
AW-00030046,Belgium
AW-00030047,Belgium
AW-00030048,Germany
AW-00030049,Netherlands
AW-00030050,Italy
AW-00030051,Spain
AW-00030052,Belgium
AW-00030053,Spain
AW-00030054,United Kingdom
AW-00030055,Japan
AW-00030056,Belgium
AW-00030057,Belgium
AW-00030058,Germany
AW-00030059,US
AW-00030060,France
AW-00030061,Germany
AW-00030062,US
AW-00030063,Sweden
AW-00030064,Germany
AW-00030065,Sweden
AW-00030066,Italy
AW-00030067,United Kingdom
AW-00030068,Norway
AW-00030069,Norway
AW-00030070,Denmark
AW-00030071,United Kingdom
AW-00030072,Spain
AW-00030073,Norway
AW-00030074,Netherlands
AW-00030075,Australia
AW-00030076,United Kingdom
AW-00030077,Spain
AW-00030078,Japan
AW-00030079,Germany
AW-00030080,Netherlands
AW-00030081,US
AW-00030082,Denmark
AW-00030083,France
AW-00030084,US
AW-00030085,Italy
AW-00030086,France
AW-00030087,US
AW-00030088,Spain
AW-00030089,Denmark
AW-00030090,Japan
AW-00030091,Canada
AW-00030092,Italy
AW-00030093,United Kingdom
AW-00030094,Netherlands
AW-00030095,Italy
AW-00030096,Italy
AW-00030097,Netherlands
AW-00030098,France
AW-00030099,Germany
AW-00030100,Germany
AW-00030101,United Kingdom
AW-00030102,Norway
AW-00030103,Australia
AW-00030104,Italy
AW-00030105,Spain
AW-00030106,Italy
AW-00030107,Denmark
AW-00030108,Italy
AW-00030109,Germany
AW-00030110,France
AW-00030111,Sweden
AW-00030112,Sweden
AW-00030113,Australia
AW-00030114,Denmark
AW-00030115,Denmark
AW-00030116,Canada
AW-00030117,Belgium
AW-00030118,France
AW-00030119,Spain
AW-00030120,United Kingdom
AW-00030121,Italy
AW-00030122,Denmark
AW-00030123,Belgium
AW-00030124,US
AW-00030125,United Kingdom
AW-00030126,Belgium
AW-00030127,Australia
AW-00030128,Netherlands
AW-00030129,Japan
AW-00030130,Germany
AW-00030131,US
AW-00030132,France
AW-00030133,Spain
AW-00030134,Sweden
AW-00030135,Sweden
AW-00030136,Sweden
AW-00030137,Japan
AW-00030138,Denmark
AW-00030139,Spain
AW-00030140,Denmark
AW-00030141,Norway
AW-00030142,Japan
AW-00030143,Canada
AW-00030144,Sweden
AW-00030145,Netherlands
AW-00030146,US
AW-00030147,Canada
AW-00030148,Germany
AW-00030149,Italy
AW-00030150,Sweden
AW-00030151,United Kingdom
AW-00030152,Australia
AW-00030153,US
AW-00030154,Japan
AW-00030155,Sweden
AW-00030156,Sweden
AW-00030157,Germany
AW-00030158,Australia
AW-00030159,Japan
AW-00030160,Japan
AW-00030161,Canada
AW-00030162,France
AW-00030163,Belgium
AW-00030164,France
AW-00030165,Australia
AW-00030166,Japan
AW-00030167,Sweden
AW-00030168,Canada
AW-00030169,US
AW-00030170,Germany
AW-00030171,Netherlands
AW-00030172,Italy
AW-00030173,France
AW-00030174,Belgium
AW-00030175,US
AW-00030176,United Kingdom
AW-00030177,Norway
AW-00030178,Norway
AW-00030179,Belgium
AW-00030180,Germany
AW-00030181,Spain
AW-00030182,Japan
AW-00030183,Australia
AW-00030184,Denmark
AW-00030185,Germany
AW-00030186,France
AW-00030187,France
AW-00030188,United Kingdom
AW-00030189,France
AW-00030190,US
AW-00030191,France
AW-00030192,Spain
AW-00030193,Denmark
AW-00030194,France
AW-00030195,Sweden
AW-00030196,Germany
AW-00030197,Japan
AW-00030198,Norway
AW-00030199,Denmark
AW-00030200,Netherlands
AW-00030201,Japan
AW-00030202,Japan
AW-00030203,Italy
AW-00030204,Belgium
AW-00030205,Norway
AW-00030206,Netherlands
AW-00030207,United Kingdom
AW-00030208,Australia
AW-00030209,Norway
AW-00030210,Spain
AW-00030211,Denmark
AW-00030212,United Kingdom
AW-00030213,Italy
AW-00030214,Denmark
AW-00030215,Germany
AW-00030216,France
AW-00030217,Japan
AW-00030218,Spain
AW-00030219,Japan
AW-00030220,Japan
AW-00030221,Italy
AW-00030222,Norway
AW-00030223,Japan
AW-00030224,France
AW-00030225,Germany
AW-00030226,Netherlands
AW-00030227,Netherlands
AW-00030228,Australia
AW-00030229,Italy
AW-00030230,Italy
AW-00030231,Australia
AW-00030232,Norway
AW-00030233,Norway
AW-00030234,Germany
AW-00030235,Spain
AW-00030236,United Kingdom
AW-00030237,Sweden
AW-00030238,Norway
AW-00030239,Norway
AW-00030240,Belgium
AW-00030241,Australia
AW-00030242,Denmark
AW-00030243,Australia
AW-00030244,Belgium
AW-00030245,Japan
AW-00030246,Germany
AW-00030247,Denmark
AW-00030248,Canada
AW-00030249,Norway
AW-00030250,Belgium
AW-00030251,Sweden
AW-00030252,Japan
AW-00030253,Italy
AW-00030254,US
AW-00030255,United Kingdom
AW-00030256,Sweden
AW-00030257,Norway
AW-00030258,Denmark
AW-00030259,Germany
AW-00030260,Germany
AW-00030261,Belgium
AW-00030262,US
AW-00030263,Germany
AW-00030264,Canada
AW-00030265,Netherlands
AW-00030266,France
AW-00030267,United Kingdom
AW-00030268,Denmark
AW-00030269,Australia
AW-00030270,Norway
AW-00030271,Canada
AW-00030272,Canada
AW-00030273,Germany
AW-00030274,Norway
AW-00030275,Canada
AW-00030276,Sweden
AW-00030277,Norway
AW-00030278,Japan
AW-00030279,Netherlands
AW-00030280,US
AW-00030281,Spain
AW-00030282,Germany
AW-00030283,Spain
AW-00030284,Germany
AW-00030285,Denmark
AW-00030286,Spain
AW-00030287,Sweden
AW-00030288,Spain
AW-00030289,Belgium
AW-00030290,Sweden
AW-00030291,United Kingdom
AW-00030292,United Kingdom
AW-00030293,Netherlands
AW-00030294,Australia
AW-00030295,France
AW-00030296,Norway
AW-00030297,US
AW-00030298,Japan
AW-00030299,France
AW-00030300,Australia
AW-00030301,Australia
AW-00030302,Italy
AW-00030303,Belgium
AW-00030304,Japan
AW-00030305,United Kingdom
AW-00030306,Spain
AW-00030307,Italy
AW-00030308,Canada
AW-00030309,Norway
AW-00030310,Belgium
AW-00030311,Sweden
AW-00030312,Australia
AW-00030313,Belgium
AW-00030314,Denmark
AW-00030315,Sweden
AW-00030316,Netherlands
AW-00030317,Spain
AW-00030318,Germany
AW-00030319,Spain
AW-00030320,Sweden
AW-00030321,Germany
AW-00030322,US
AW-00030323,Spain
AW-00030324,France
AW-00030325,Japan
AW-00030326,US
AW-00030327,Australia
AW-00030328,Australia
AW-00030329,Belgium
AW-00030330,Australia
AW-00030331,Japan
AW-00030332,Australia
AW-00030333,Japan
AW-00030334,Italy
AW-00030335,Netherlands
AW-00030336,Denmark
AW-00030337,Italy
AW-00030338,Italy
AW-00030339,Germany
AW-00030340,Belgium
AW-00030341,Germany
AW-00030342,Canada
AW-00030343,Australia
AW-00030344,Norway
AW-00030345,Denmark
AW-00030346,Spain
AW-00030347,Italy
AW-00030348,Norway
AW-00030349,Italy
AW-00030350,Italy
AW-00030351,Belgium
AW-00030352,US
AW-00030353,US
AW-00030354,Sweden
AW-00030355,United Kingdom
AW-00030356,Denmark
AW-00030357,Canada
AW-00030358,United Kingdom
AW-00030359,Italy
AW-00030360,Australia
AW-00030361,Italy
AW-00030362,Belgium
AW-00030363,Australia
AW-00030364,Spain
AW-00030365,US
AW-00030366,US
AW-00030367,US
AW-00030368,Sweden
AW-00030369,Norway
AW-00030370,Norway
AW-00030371,Italy
AW-00030372,France
AW-00030373,Netherlands
AW-00030374,US
AW-00030375,Italy
AW-00030376,Canada
AW-00030377,Germany
AW-00030378,Spain
AW-00030379,France
AW-00030380,US
AW-00030381,Japan
AW-00030382,Netherlands
AW-00030383,France
AW-00030384,Netherlands
AW-00030385,Netherlands
AW-00030386,Denmark
AW-00030387,Spain
AW-00030388,Australia
AW-00030389,Belgium
AW-00030390,US
AW-00030391,Italy
AW-00030392,Netherlands
AW-00030393,Norway
AW-00030394,Spain
AW-00030395,Netherlands
AW-00030396,France
AW-00030397,Germany
AW-00030398,Sweden
AW-00030399,Japan
AW-00030400,Australia
AW-00030401,France
AW-00030402,US
AW-00030403,Netherlands
AW-00030404,Germany
AW-00030405,Australia
AW-00030406,France
AW-00030407,United Kingdom
AW-00030408,Japan
AW-00030409,Denmark
AW-00030410,Germany
AW-00030411,Canada
AW-00030412,Netherlands
AW-00030413,Netherlands
AW-00030414,Australia
AW-00030415,United Kingdom
AW-00030416,Norway
AW-00030417,Japan
AW-00030418,Japan
AW-00030419,Japan
AW-00030420,Sweden
AW-00030421,Japan
AW-00030422,United Kingdom
AW-00030423,Belgium
AW-00030424,Italy
AW-00030425,Belgium
AW-00030426,Belgium
AW-00030427,Netherlands
AW-00030428,Norway
AW-00030429,Japan
AW-00030430,Belgium
AW-00030431,Belgium
AW-00030432,Belgium
AW-00030433,Spain
AW-00030434,Spain
AW-00030435,Spain
AW-00030436,Canada
AW-00030437,Australia
AW-00030438,Belgium
AW-00030439,Japan
AW-00030440,Italy
AW-00030441,Germany
AW-00030442,Japan
AW-00030443,Netherlands
AW-00030444,United Kingdom
AW-00030445,Netherlands
AW-00030446,Germany
AW-00030447,Spain
AW-00030448,US
AW-00030449,Germany
AW-00030450,Netherlands
AW-00030451,Australia
AW-00030452,Spain
AW-00030453,Japan
AW-00030454,United Kingdom
AW-00030455,Sweden
AW-00030456,Belgium
AW-00030457,Canada
AW-00030458,Canada
AW-00030459,Belgium
AW-00030460,Sweden
AW-00030461,United Kingdom
AW-00030462,Belgium
AW-00030463,United Kingdom
AW-00030464,Sweden
AW-00030465,Germany
AW-00030466,Denmark
AW-00030467,Japan
AW-00030468,Italy
AW-00030469,Australia
AW-00030470,Canada
AW-00030471,France
AW-00030472,Netherlands
AW-00030473,US
AW-00030474,Australia
AW-00030475,Australia
AW-00030476,France
AW-00030477,Netherlands
AW-00030478,Japan
AW-00030479,Italy
AW-00030480,Netherlands
AW-00030481,Denmark
AW-00030482,Spain
AW-00030483,Belgium
